Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
203777:3108,11,813949.710548,[103-113],807723.009563
203830:3109,101,6436063.15661,[82-182],6289700.38538
203832:3109,11,667929.680559,[1-11],602306.483086
203833:3109,126,7214176.46751,"[1-70], [73-128]",7083398.25497
203834:3109,40,2156191.63841,[1-40],2104512.55811
203835:3109,356,16998526.6753,"[1-70], [73-358]",16818276.0363
203853:3110,101,11630398.9289,[122-222],11493625.1432
203894:3113,1232,101632435.506,"[82-272], [275-477], [480-902], [905-1319]",100638624.753
203909:3114,298,41082316.1775,"[79-113], [116-117], [120-140], [143-382]",39654545.3413
203912:3114,1311,105572589.06,"[1-306], [308-566], [569-609], [611-698], [701-820], [823-865], [867-1033], [1035-1321]",104586123.982
203987:3121,1007,83720271.0309,"[1-9], [12-241], [243-339], [342-781], [784-1014]",82966718.6912
203992:3121,15,939862.746182,[1-15],817814.600751
203994:3121,419,23529772.3742,"[1-56], [59-136], [139-304], [306-342], [344-425]",23272801.0007
204100:3124,23,3212252.39525,[117-139],3050275.62292
204101:3124,74,9784396.95129,[1-74],9467220.66846
204113:3126,597,77763315.204,"[82-96], [98-102], [105-127], [129-191], [194-258], [261-327], [329-388], [390-400], [402-583], [585-690]",76174381.0178
204114:3126,358,33918917.1797,[1-358],33496253.428
204238:3128,31,4464911.45866,"[23-52], [55-55]",4347137.72192
204250:3129,697,80741197.5782,"[92-118], [121-177], [179-285], [287-336], [339-400], [403-521], [524-543], [546-682], [684-801]",79421426.1603
204511:3131,56,5916313.23884,[1-56],5860231.72632
204541:3133,194,29364980.4189,"[5-39], [42-42], [44-139], [142-149], [151-204]",27871892.5313
204544:3133,419,47797142.5967,"[1-11], [13-93], [96-195], [197-224], [226-334], [337-426]",46889569.8565
204552:3133,9,631587.427873,[1-9],577342.919554
204553:3133,98,6683709.97766,"[1-51], [53-60], [63-101]",6592167.82907
204554:3133,507,30309810.7014,"[1-5], [7-221], [224-455], [458-470], [472-481], [483-514]",30022266.3695
204555:3133,333,16789218.9851,"[1-329], [331-334]",16702081.7997
204563:3134,468,60255480.2085,"[91-99], [102-178], [180-219], [222-229], [231-364], [366-366], [369-470], [473-524], [527-571]",58999924.5332
204564:3134,1261,104340361.332,"[1-84], [87-89], [92-159], [161-187], [190-191], [193-293], [296-315], [317-340], [343-427], [429-434], [437-735], [737-855], [858-1206], [1209-1248], [1251-1284]",103221834.008
204565:3134,48,2889151.22794,[1-48],2839336.76794
204566:3134,12,709037.486909,[1-12],663639.896415
204567:3134,38,2210732.52199,[1-38],2195714.24169
204576:3135,251,36127468.8312,"[49-192], [195-301]",34192329.2452
204577:3135,1265,117184666.568,"[1-46], [49-64], [67-105], [107-170], [173-181], [183-193], [196-653], [656-669], [671-740], [742-913], [915-1057], [1059-1115], [1117-1282]",115942448.154
204599:3138,248,36477663.3804,"[73-83], [85-94], [97-121], [124-125], [128-173], [175-240], [243-245], [248-264], [266-292], [294-334]",35474119.168
204601:3138,1223,106366010.462,"[1-25], [28-62], [65-80], [83-89], [92-290], [292-563], [565-591], [593-652], [655-780], [783-812], [814-892], [894-984], [986-1003], [1006-1038], [1040-1088], [1091-1102], [1105-1161], [1164-1250]",105239817.817
205086:3169,55,401737.032433,[95-149],390694.15802
205111:3178,356,47842807.6923,"[88-390], [392-441], [444-446]",46890350.4419
205158:3182,637,76076540.7572,"[81-289], [292-313], [315-473], [476-591], [594-595], [597-612], [615-663], [665-667], [672-685], [687-733]",74721039.7169
205193:3185,817,93203264.289,"[80-109], [111-349], [352-486], [488-650], [652-712], [714-902]",91811938.7059
205217:3185,310,23927676.5836,"[1-12], [16-111], [113-171], [174-250], [253-318]",23737939.0013
205233:3188,60,8796269.60594,[94-153],8458029.11772
205236:3188,345,40483424.9586,"[1-190], [193-207], [209-260], [263-331], [334-352]",39726667.0022
205238:3188,606,50465397.1071,"[1-6], [9-199], [202-254], [256-304], [306-355], [358-381], [384-596], [598-617]",49884549.6683
205303:3191,73,10288479.1149,"[35-54], [90-132], [135-144]",10076203.9655
205310:3192,474,58910509.8476,"[76-306], [309-313], [316-316], [319-321], [324-457], [460-559]",57833044.8075
205311:3192,1249,89692820.7085,"[1-85], [88-92], [95-183], [186-395], [397-592], [595-910], [913-1260]",88840744.763
205339:3194,326,42173894.1031,"[71-175], [178-213], [216-230], [233-262], [265-404]",41351044.2659
205344:3194,1576,120900512.925,"[1-83], [86-104], [106-359], [362-431], [433-949], [951-967], [969-1127], [1129-1346], [1348-1586]",119718826.349
205515:3200,134,17792849.1153,"[82-201], [203-216]",17229253.9827
205519:3200,464,44332668.9022,"[1-47], [50-172], [175-367], [370-386], [389-472]",43702252.653
205526:3200,328,22440595.5832,"[1-269], [272-277], [280-332]",22237410.8861
205614:3201,38,4082019.94026,"[1-4], [7-40]",3942293.07343
205617:3201,536,45167928.1109,"[1-29], [32-102], [105-123], [125-140], [143-264], [266-448], [451-532], [534-547]",44636167.8788
205618:3201,12,802420.866387,[1-12],758353.988039
205620:3201,175,10545394.0861,[1-175],10476069.636
205666:3203,668,84732482.0952,"[60-119], [122-165], [168-259], [261-322], [325-578], [580-594], [597-721], [724-739]",83017921.0635
205667:3203,1095,85346750.1083,"[1-165], [168-282], [285-318], [321-412], [415-689], [692-751], [754-774], [777-1109]",84588219.2182
205683:3204,224,28863520.3899,"[76-82], [85-178], [181-198], [201-305]",28151179.1052
205690:3204,40,4407944.38978,[1-40],4312017.48387
205694:3204,881,62457934.1477,"[1-205], [208-230], [233-347], [350-452], [455-593], [595-890]",61904451.8306
205718:3207,632,85846228.3683,"[49-75], [78-97], [100-103], [105-176], [178-338], [341-361], [363-524], [527-531], [534-589], [591-694]",83736311.4997
205774:3208,80,10879405.6283,[1-80],10677811.2185
205777:3208,8,1053608.51911,[1-8],914437.070899
205781:3208,499,54690778.5405,"[1-89], [91-197], [200-502]",53869677.0557
205826:3209,385,51227974.4584,"[80-232], [235-303], [306-468]",50218325.9633
205833:3210,264,38814705.6102,"[84-86], [89-121], [123-155], [157-165], [167-173], [176-219], [221-267], [270-312], [315-346], [350-355], [360-366]",37708058.6318
205834:3210,194,23240165.0414,"[1-12], [14-195]",22914357.5762
205908:3212,141,20904121.4352,"[68-200], [202-209]",20320563.3967
205921:3214,811,91629969.8045,"[22-73], [76-268], [271-394], [397-401], [410-428], [431-498], [500-571], [574-779], [782-853]",89788563.0467
206066:3220,58,8479375.69296,[89-146],8163177.2946
206088:3223,196,28220098.3511,"[86-159], [161-178], [181-199], [202-286]",27127802.1683
206102:3226,254,35277585.6029,"[83-116], [120-130], [133-208], [211-235], [238-246], [249-278], [281-349]",34336474.9241
206187:3229,588,78818726.4064,"[107-169], [172-242], [245-288], [290-340], [343-427], [429-435], [437-486], [489-569], [571-647], [649-662], [664-708]",76955512.9916
206188:3229,54,5678897.73921,"[1-40], [42-55]",5624980.34901
206199:3231,111,14793464.211,"[1-75], [77-82], [85-114]",14510003.9371
206207:3232,598,77176381.3844,"[82-130], [132-176], [179-194], [196-388], [390-419], [422-447], [450-569], [572-690]",75884326.3445
206208:3232,517,46376373.3245,"[1-470], [472-518]",45949928.5905
206210:3232,450,30963544.3609,"[11-25], [28-275], [277-298], [300-383], [386-466]",30683711.7615
206243:3236,829,100787327.985,"[62-169], [172-196], [199-354], [357-433], [435-448], [451-533], [536-554], [557-723], [726-905]",98735058.1117
206245:3236,62,5403130.79339,[1-62],5279419.06847
206246:3236,1272,80458110.7324,"[1-14], [16-237], [240-285], [288-407], [412-676], [678-704], [706-785], [787-962], [965-997], [1000-1198], [1201-1290]",79783874.1343
206257:3236,29,1220492.97347,[1-29],1175985.03963
206258:3236,245,9403031.88447,"[1-36], [39-223], [226-249]",9317429.89728
206302:3238,262,33787752.0388,"[1-8], [11-33], [36-44], [47-82], [84-108], [110-149], [151-186], [189-229], [231-232], [234-241], [243-276]",33204962.438
206303:3238,283,29744624.1766,"[1-19], [23-286]",29314336.6229
206304:3238,61,5722150.17564,"[1-4], [6-62]",5675749.69574
206331:3240,220,32311238.1859,"[91-222], [225-312]",31707054.8469
206389:3242,300,42269277.4218,"[88-185], [187-249], [252-272], [275-392]",41091325.2185
206391:3242,90,8911623.26676,"[1-55], [57-91]",8836053.13373
206401:3244,335,48934207.6154,"[69-90], [92-194], [197-210], [212-249], [251-265], [267-409]",47735379.6058
206446:3249,1004,115108175.018,"[92-141], [143-159], [162-205], [208-301], [304-442], [445-445], [448-474], [476-616], [619-872], [874-910], [912-948], [950-989], [992-1030], [1033-1075], [1109-1149]",112965236.505
206448:3249,1230,78678282.6641,"[1-143], [145-559], [561-1170], [1173-1231], [1235-1237]",77885159.4384
206466:3250,638,81217413.2856,"[24-137], [140-277], [280-296], [299-303], [306-405], [407-419], [422-477], [480-511], [514-676]",79539940.2473
206476:3252,141,21775547.9777,"[73-129], [133-137], [140-141], [143-219]",20538193.4316
206477:3252,171,22610774.219,"[1-14], [16-31], [33-41], [44-51], [53-70], [73-75], [77-89], [91-94], [97-115], [118-184]",21820248.4691
206478:3252,141,16374277.1399,"[1-27], [29-136], [139-144]",16200052.3509
206484:3253,583,76182629.3621,"[73-95], [98-133], [136-163], [166-186], [189-384], [387-463], [465-551], [554-554], [556-669]",74713357.9095
206512:3259,1103,116179496.28,"[91-123], [125-133], [136-161], [163-190], [193-201], [203-212], [214-332], [334-584], [587-604], [607-1005], [1008-1123], [1126-1163], [1165-1211]",114401882.855
206513:3259,313,22326406.0592,"[3-39], [42-188], [191-234], [237-238], [241-323]",22174714.0825
206542:3261,819,97576956.8734,"[1-115], [117-165], [168-511], [514-547], [550-603], [606-668], [671-727], [730-739], [741-833]",95625628.1721
206550:3262,66,9833552.67369,"[77-132], [135-144]",9439071.59767
206572:3264,11,1764718.54831,[37-47],1379975.57102
206573:3264,13,1989939.17344,[2-14],1805822.16381
206574:3264,87,12119093.9022,[1-87],11855329.0091
206575:3264,66,8284597.70649,"[1-7], [10-10], [12-69]",8125008.13589
