Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
199356:2861,132,17625010.3399,"[95-121], [123-168], [171-205], [208-231]",17323921.8364
199409:2870,1267,113038345.895,"[25-54], [56-89], [91-204], [206-290], [293-583], [586-602], [604-1014], [1016-1300]",111666663.773
199428:2871,575,62199765.7109,"[61-197], [200-210], [212-382], [387-414], [417-436], [439-530], [533-648]",61177657.3189
199429:2871,146,12449211.7705,"[1-28], [30-36], [39-55], [58-101], [103-148], [151-154]",12309638.6024
199435:2872,1527,129696178.162,"[63-106], [109-261], [263-579], [582-654], [656-696], [699-1034], [1037-1144], [1147-1327], [1330-1411], [1414-1431], [1434-1441], [1444-1487], [1489-1610]",128102858.921
199436:2872,742,37383143.7724,"[1-113], [116-254], [257-675], [678-748]",37075730.3124
199564:2873,3,401355.23409,[1-3],391101.830753
199569:2873,363,36666811.4702,"[1-2], [5-136], [139-367]",36205630.7186
199570:2873,17,1534953.22194,[1-17],1465909.68972
199571:2873,558,44086757.1617,"[1-184], [186-360], [363-561]",43485338.8101
199572:2873,317,20688727.3249,[1-317],20440959.4126
199573:2873,22,1339610.26651,[1-22],1313828.08264
199574:2873,242,13948707.2203,"[1-53], [56-153], [156-246]",13857530.5722
199608:2875,2343,172773408.74,"[60-157], [159-209], [211-341], [344-390], [392-461], [464-800], [802-1064], [1067-1392], [1395-1630], [1633-1904], [1907-1962], [1965-2252], [2255-2422]",171034550.791
199698:2880,55,6675820.85828,"[72-94], [96-127]",6544369.78986
199699:2880,751,70369977.1674,"[1-154], [157-169], [172-410], [412-756]",69414572.9698
199703:2880,525,34129778.88,"[1-94], [97-482], [485-529]",33869270.7242
199739:2882,68,8481776.2191,[66-133],8362905.05072
199751:2884,24,2969397.25265,"[103-119], [121-127]",2857521.75177
199752:2884,316,33669812.8757,"[1-141], [144-180], [182-186], [188-211], [214-322]",33042150.9356
199753:2884,59,5603039.75191,[1-59],5485919.6371
199754:2884,990,70837680.9574,"[1-203], [205-325], [328-457], [459-607], [610-613], [615-806], [808-998]",70128682.3876
199804:2886,543,58584894.5858,"[78-88], [90-181], [183-235], [238-278], [281-290], [292-519], [522-575], [577-628], [631-632]",57905917.9406
199812:2887,693,72678108.9601,"[70-141], [144-163], [182-211], [214-471], [474-505], [508-557], [560-571], [574-623], [626-751], [754-796]",71640871.524
199832:2888,223,28792477.1488,"[58-62], [65-118], [121-139], [142-286]",26613858.6613
199833:2888,1227,104994790.107,"[1-13], [16-103], [105-250], [253-493], [496-794], [797-1032], [1034-1185], [1188-1239]",103406248.944
199834:2888,927,47395317.6611,"[1-9], [11-11], [14-18], [21-54], [56-57], [62-65], [69-284], [286-503], [505-942]",47018747.6551
199862:2891,83,11150465.6997,[59-141],10852223.5326
199864:2891,478,52640304.1046,"[1-87], [89-89], [92-103], [106-372], [374-385], [388-486]",51604866.0674
199867:2891,316,27521756.4066,"[1-134], [136-172], [174-218], [221-320]",27130669.0077
199868:2891,21,1592547.90023,[1-21],1578866.85432
199875:2892,264,33303503.6632,"[70-150], [152-334]",32019020.339
199876:2892,366,36910050.6164,"[1-19], [22-95], [97-249], [252-272], [274-340], [343-362], [365-376]",36479377.1643
199877:2892,868,63548777.8407,"[1-173], [175-605], [607-701], [703-871]",62994697.9468
199960:2893,397,46734852.0062,"[72-139], [141-197], [204-232], [235-363], [365-367], [370-380], [383-459], [461-466], [469-485]",46087211.5316
199961:2893,286,26828720.8511,"[1-211], [213-287]",26490908.9467
199967:2894,137,17633980.3027,"[60-120], [122-170], [172-198]",16989327.3955
199973:2896,17,2253875.83812,[73-89],2190166.49023
200041:2898,1012,100222579.786,"[62-83], [85-157], [162-274], [277-318], [321-335], [337-386], [388-389], [392-400], [402-568], [571-593], [595-646], [649-728], [731-860], [862-930], [932-1096]",98863588.105
200042:2898,535,32654893.0429,"[1-110], [112-536]",32363999.1862
200049:2898,177,8737481.99626,[1-177],8690132.01455
200075:2900,498,56167152.4003,"[76-139], [142-232], [256-326], [329-422], [425-431], [434-500], [502-605]",55469808.7484
200091:2902,1611,141955487.565,"[67-67], [70-151], [154-172], [174-187], [190-196], [199-201], [204-425], [428-535], [537-607], [610-879], [881-943], [946-999], [1001-1025], [1027-1132], [1135-1339], [1341-1433], [1435-1450], [1453-1523], [1526-1664], [1667-1680], [1683-1710]",140317828.235
200152:2905,43,5559154.78798,[74-116],5392907.03608
200160:2906,17,2377758.46882,[52-68],2272350.74871
200161:2906,110,14392935.4725,"[1-97], [100-112]",12853521.8751
200174:2908,4,556081.198129,[81-84],395418.312791
200177:2908,56,7425340.68656,[1-56],7012146.14684
200178:2908,38,4851357.79641,[1-38],4679493.32639
200180:2908,18,2229620.73087,[1-18],2176756.68171
200186:2908,22,2561582.52482,"[1-3], [6-24]",2418445.35925
200188:2908,344,35303927.9948,"[1-24], [27-28], [31-76], [79-271], [274-352]",34804875.0516
200190:2908,856,63771088.1022,"[1-4], [6-76], [79-143], [146-159], [162-256], [258-321], [324-401], [403-453], [456-457], [460-565], [567-588], [591-591], [593-595], [597-646], [649-878]",62907030.9293
200229:2911,614,50157852.222,"[1-33], [41-219], [222-244], [247-290], [293-624], [627-629]",49392825.8487
200243:2912,60,8469768.26265,"[69-71], [80-82], [84-103], [106-139]",8215026.75811
200244:2912,597,66881927.468,"[3-170], [173-304], [307-307], [311-416], [418-418], [421-442], [445-507], [510-559], [561-562], [565-598], [602-619]",65801032.6435
200245:2912,352,29154063.3269,"[1-103], [105-128], [131-248], [251-357]",28887362.2021
200368:2918,109,10438703.892,[72-180],10250758.0301
200369:2918,675,52856151.9692,"[1-5], [8-61], [64-360], [363-439], [441-578], [580-603], [606-684], [686-686]",52279516.1527
200381:2920,184,25055950.0772,"[8-15], [18-36], [38-89], [91-195]",24593721.0564
200466:2926,141,6046151.25819,[134-274],5922431.64727
200473:2927,1213,100707334.968,"[96-157], [159-224], [226-304], [306-469], [472-524], [527-542], [545-619], [622-688], [691-730], [733-738], [740-1324]",99729617.179
200491:2928,305,38541745.1697,"[87-87], [92-92], [99-107], [110-127], [130-149], [152-157], [160-197], [199-237], [240-270], [273-273], [276-334], [336-360], [363-419]",37829528.1288
200515:2929,76,10815512.6326,[108-183],10468252.7657
200519:2929,735,76593058.9292,"[1-111], [114-126], [129-136], [138-224], [227-258], [261-350], [353-611], [613-747]",75551595.8103
200525:2932,892,96407455.5049,"[77-110], [113-143], [145-146], [148-149], [151-164], [166-190], [193-276], [278-311], [314-464], [467-488], [491-674], [676-704], [707-755], [757-895], [898-937], [939-990]",94897127.5811
200532:2932,37,2922291.75132,[1-37],2897322.11235
200599:2934,61,8880167.45756,"[75-129], [132-137]",8547683.27351
200600:2934,1115,111116152.737,"[1-183], [186-299], [302-313], [316-324], [327-334], [336-397], [399-417], [420-526], [529-591], [594-596], [598-609], [611-660], [663-823], [826-900], [902-943], [945-1139]",109658956.255
200961:2974,115,808931.119037,[1-115],803796.082624
200976:2975,71,3355059.00903,[94-164],3268176.53443
200990:2976,69,9337937.10033,[75-143],8945944.61151
200991:2976,1033,98858923.058,"[1-42], [44-44], [47-80], [83-175], [178-181], [184-252], [255-632], [635-916], [918-1017], [1019-1048]",97294967.0501
200992:2976,578,35981706.2253,"[1-405], [408-434], [436-581]",35730927.3992
201062:2978,180,25319129.8147,[89-268],24605417.5393
201097:2980,397,50402840.7971,"[89-89], [91-92], [95-95], [97-136], [138-245], [248-300], [303-370], [372-429], [432-497]",49088687.1524
201114:2981,14,2168035.1624,[1-14],1953512.99646
201115:2981,73,10578456.0479,[1-73],10172363.1873
201159:2983,135,19990304.1866,"[70-72], [79-80], [82-211]",18682830.1604
201164:2983,404,48290918.0628,"[1-8], [10-94], [96-125], [128-139], [141-144], [146-178], [180-198], [200-271], [274-332], [336-416], [418-418]",47282197.486
201168:2983,725,61754565.6487,"[1-37], [39-275], [278-481], [483-558], [560-730]",60968335.332
201173:2983,584,35640559.1376,"[1-194], [197-586]",35386385.65
201174:2983,447,21590883.8141,"[1-214], [216-263], [265-339], [342-451]",21395327.9489
201191:2984,1281,135315164.837,"[75-75], [83-83], [86-98], [100-216], [218-389], [392-492], [494-506], [509-585], [587-594], [597-607], [609-794], [796-838], [841-974], [977-1105], [1108-1117], [1120-1382], [1385-1386]",132888637.317
201193:2984,19,1335800.76569,[1-19],1288933.76626
201196:2984,811,47273691.3199,"[1-238], [241-278], [286-299], [302-338], [341-515], [518-720], [723-789], [803-841]",46832918.1674
201197:2984,23,1112977.48818,[1-23],1060860.28114
201202:2984,437,17394308.3421,[1-437],17211263.6594
201229:2987,69,10592748.5996,"[1-5], [8-26], [29-73]",10324472.0367
201278:2991,2078,170107734.133,"[62-63], [71-72], [74-75], [77-77], [79-82], [84-163], [166-229], [232-256], [259-316], [318-595], [598-938], [942-974], [976-1160], [1163-1304], [1306-1793], [1796-1802], [1805-1906], [1909-1929], [1932-2174]",168035981.177
201554:2995,49,7365345.63189,"[73-73], [75-77], [80-86], [88-114], [116-126]",7120057.22318
201602:2996,555,69836024.8998,"[76-81], [83-194], [196-494], [496-614], [617-635]",67956645.3235
201611:2997,96,14941280.4078,"[87-145], [149-182], [184-186]",13953314.7034
201613:2997,636,75534727.4695,"[1-42], [44-49], [53-210], [213-215], [218-225], [228-646]",74526145.7932
201624:2998,149,23617682.3153,"[83-83], [87-92], [95-95], [98-99], [101-101], [103-104], [106-240], [270-270]",22500305.5057
201625:2998,724,72542136.2012,"[211-312], [315-348], [351-416], [418-588], [591-671], [673-758], [760-791], [793-944]",71724331.8074
201657:3000,32,5136027.40408,"[84-93], [95-97], [99-108], [110-118]",4776688.81936
201658:3000,283,38633759.5877,"[1-19], [21-118], [121-136], [139-288]",37862948.1541
201668:3002,72,11256445.1657,"[78-78], [83-83], [88-157]",10647922.0606
201669:3002,160,22490340.2861,"[1-9], [12-136], [139-141], [143-165]",21912536.4435
201671:3002,990,95289166.2505,"[1-120], [122-174], [177-462], [464-482], [485-499], [501-545], [547-571], [574-614], [617-766], [768-896], [899-911], [914-1007]",94004842.0568
201678:3002,120,8359837.22252,[1-120],8274905.77029
201679:3002,474,28771711.405,"[1-110], [112-241], [244-298], [302-321], [324-461], [463-483]",28480323.8626
201692:3003,101,15641802.5207,"[78-81], [83-179]",15111028.0714
201705:3005,121,17876302.0468,"[65-73], [75-109], [111-187]",17299768.2941
201706:3005,57,7687900.32175,[1-57],7560942.58917
201707:3005,939,92274035.5539,"[1-23], [26-42], [45-115], [118-130], [133-160], [163-276], [279-471], [473-511], [514-545], [547-570], [572-622], [625-735], [738-806], [809-876], [879-964]",91212064.883
201708:3005,79,5757124.15753,[1-79],5712953.12952
201718:3006,41,6063205.34748,"[62-62], [66-66], [70-108]",5903787.96565
201727:3007,110,16173608.0861,"[67-69], [79-185]",15642320.7381
201729:3007,232,29127209.2166,"[6-20], [22-75], [77-126], [129-154], [156-216], [219-244]",28685521.1618
201794:3009,31,4915168.08634,"[58-60], [64-65], [67-85], [87-88], [90-94]",4716049.66513
201802:3011,224,32933625.2722,"[68-209], [211-214], [216-220], [223-288], [290-296]",31533743.0969
201816:3011,155,15793344.4245,"[1-72], [74-105], [107-157]",15588179.491
201817:3011,274,24497522.1569,[1-274],24137258.1027
201818:3011,1,82357.9598306,[1-1],80224.8886128
201819:3011,240,18511503.0739,"[1-94], [96-241]",18272159.7276
201824:3011,487,31278071.6663,"[1-139], [141-176], [179-286], [289-492]",31019147.3533
202012:3016,30,4221773.1915,"[98-121], [126-131]",3307325.39755
202013:3016,53,7057612.06166,"[1-2], [5-35], [38-57]",6204080.1941
202014:3016,187,21765897.6501,"[1-5], [8-14], [16-18], [20-77], [79-102], [104-174], [177-190], [192-196]",19784101.3741
202016:3016,998,78657549.4201,"[1-48], [51-134], [137-177], [179-743], [745-831], [834-890], [893-896], [898-932], [934-1010]",77980707.7976
202044:3018,370,47062152.1196,"[84-87], [93-94], [96-96], [98-98], [101-101], [104-266], [268-461], [463-466]",46012071.9066
202045:3018,802,70954278.6239,"[1-30], [33-72], [75-528], [531-601], [603-785], [788-809], [822-823]",70099152.1189
202054:3018,621,36864704.4085,"[6-266], [268-489], [492-605], [608-631]",36625132.4547
202060:3019,853,91046469.6301,"[76-142], [144-154], [156-244], [246-497], [499-642], [644-682], [684-743], [746-936]",89797332.8678
202074:3020,109,16040293.8543,[66-174],15509295.797
202075:3020,609,67261166.2609,"[1-18], [21-187], [189-214], [217-247], [250-342], [345-406], [409-497], [500-537], [539-539], [542-560], [562-615], [618-628]",66328467.2899
202084:3021,153,21269929.3218,"[83-156], [159-177], [179-180], [182-239]",20647434.9081
202087:3021,1085,100047954.442,"[1-25], [28-208], [210-357], [359-652], [655-853], [856-1093]",98751546.9853
202088:3021,286,17913997.6741,[1-286],17750108.8518
202093:3021,357,18518682.3804,"[1-104], [107-320], [322-360]",18378382.5528
202116:3023,2,309704.152277,[59-60],292288.395483
202178:3025,1452,128046985.037,"[67-67], [80-88], [91-177], [180-186], [188-280], [283-337], [340-377], [379-425], [428-475], [478-548], [551-717], [720-965], [967-1444], [1447-1505], [1508-1519], [1522-1555]",126552647.57
202205:3027,21,2897736.62707,[94-114],2816292.65094
202209:3027,140,17663912.8144,"[1-48], [51-142]",17375327.5149
202237:3029,1021,116586596.475,"[39-128], [131-131], [134-219], [222-235], [238-275], [277-289], [291-316], [319-419], [422-538], [540-936], [939-950], [952-976], [979-1079]",114784850.471
202272:3032,1274,110558580.318,"[76-112], [115-141], [144-185], [188-205], [208-305], [307-313], [315-371], [436-480], [483-555], [558-577], [579-683], [686-705], [707-740], [742-890], [937-1295], [1299-1481]",109235169.571
202299:3033,471,61098519.5631,"[68-68], [74-84], [87-141], [143-193], [196-358], [361-379], [382-414], [416-452], [455-555]",59802921.248
202305:3033,319,22267846.6274,"[1-89], [92-130], [133-323]",22106568.5939
202314:3034,202,31163458.929,"[73-104], [107-265], [268-278]",30294231.0828
202328:3036,557,72529384.9785,"[46-89], [92-156], [158-276], [278-291], [294-434], [437-460], [463-586], [588-610], [612-614]",70944699.2383
202333:3036,235,23269455.0365,[1-235],23036067.4371
202389:3039,108,16555740.4627,"[81-81], [85-95], [100-101], [103-182], [185-190], [192-199]",16044450.514
202469:3045,253,36739880.5232,"[87-87], [89-95], [97-98], [100-109], [112-126], [128-128], [130-134], [136-158], [160-174], [177-204], [206-272], [274-352]",35877849.9446
202472:3045,110,13348880.8959,"[1-96], [99-112]",13086246.3056
202477:3045,149,16187133.6116,"[1-129], [131-150]",15872244.5067
202478:3045,1229,95283607.5291,"[1-177], [180-183], [186-219], [222-360], [362-506], [509-531], [534-718], [720-927], [929-973], [975-1029], [1031-1186], [1189-1212], [1215-1248]",94364681.5844
202504:3047,1598,141809263.313,"[77-77], [86-96], [99-133], [135-182], [184-211], [213-241], [243-392], [395-527], [529-617], [620-715], [718-763], [766-1172], [1174-1247], [1250-1471], [1474-1679], [1682-1704]",139931455.559
202972:3067,535,57531735.851,"[1-30], [33-184], [186-290], [292-295], [298-371], [374-429], [431-544]",56825991.8646
202973:3067,1397,87833929.0086,"[1-234], [237-305], [308-437], [439-530], [532-541], [544-552], [555-851], [853-1408]",87167869.0147
203002:3071,1486,137935369.728,"[79-79], [81-81], [84-84], [90-128], [130-141], [144-207], [209-267], [270-360], [362-501], [504-641], [643-669], [671-671], [674-717], [720-1034], [1037-1070], [1073-1370], [1372-1392], [1395-1410], [1413-1596]",135926077.91
203709:3087,121,738160.00683,[1-121],730714.523555
203742:3102,29,650894.329766,[1-29],639086.362522
